block n60 sum_rr60 hold drowsy
1103 21 7006 1 0
1104 22 7241 1 0
1105 22 7088 1 0
1106 22 7097 1 0
1107 22 7097 1 0
1108 23 7396 1 0
1109 23 7396 1 0
1110 22 7036 1 0
1111 20 6341 1 0
1112 20 6341 1 0
1113 16 4962 1 0
1114 12 3797 1 0
1115 13 4205 1 0
1116 14 4438 1 0
1117 14 4310 1 0
1118 18 5331 1 0
1119 22 6503 1 0
1120 24 7005 1 0
1121 28 8199 1 0
1122 32 9378 0 0
1123 36 10547 0 0
1124 40 11699 0 0
1125 41 12016 0 0
1126 42 12364 0 0
1127 43 12491 0 0
1128 40 11632 0 0
1129 36 10543 0 0
1130 33 9736 0 0
1131 31 9149 0 0
1132 28 8340 1 0
1133 26 7713 1 0
1134 26 7760 1 0
1135 26 7793 1 0
1136 26 7760 1 0
1137 29 8655 1 0
1138 32 9483 0 0
1139 32 9502 0 0
1140 35 10421 0 0
1141 39 11666 0 0
1142 39 11720 0 0
1143 39 11793 0 0
1144 42 12612 0 0
1145 41 12394 0 0
1146 39 11883 0 0
1147 39 11941 0 0
1148 36 11144 0 0
1149 32 9932 0 0
1150 29 9113 1 0
1151 25 7926 1 0
1152 21 6705 1 0
1153 17 5460 1 0
1154 15 4832 1 0
1155 13 4174 1 0
1156 10 3362 1 0
1157 11 3730 1 0
1158 13 4258 1 0
1159 13 4116 1 0
1160 17 5197 1 0
1161 21 6301 1 0
1162 25 7313 1 0
1163 29 8409 1 0
1164 33 9537 0 0
1165 36 10169 0 0
1166 41 11609 0 0
1167 45 12796 0 0
1168 46 13099 0 0
1169 44 12382 0 0
1170 40 11139 0 0
1171 36 10021 0 0
1172 31 8618 0 0
1173 29 8223 1 0
1174 28 8108 1 0
1175 28 8174 1 0
1176 28 8201 1 0
1177 29 8739 1 0
1178 28 8500 1 0
1179 25 7615 1 0
1180 26 7932 1 0
1181 30 9162 0 0
1182 31 9518 0 0
1183 35 10773 0 0
1184 39 11965 0 0
1185 41 12535 0 0
1186 41 12414 0 0
1187 41 12419 0 0
1188 41 12453 0 0
1189 41 12470 0 0
1190 41 12463 0 0
1191 44 13326 0 0
1192 45 13452 0 0
1193 46 13659 0 0
1194 49 14527 0 0
1195 48 14192 0 0
1196 49 14453 0 0
1197 49 14367 0 0
1198 49 14371 0 0
1199 46 13530 0 0
1200 43 12698 0 0
1201 43 12783 0 0
1202 43 12704 0 0
1203 44 12943 0 0
1204 44 12991 0 0
1205 43 12716 0 0
1206 43 12656 0 0
1207 44 12923 0 0
1208 43 12648 0 0
1209 43 12615 0 0
1210 44 12858 0 0
1211 47 13710 0 0
1212 50 14486 0 0
1213 50 14349 0 0
1214 50 14402 0 0
1215 49 14169 0 0
1216 50 14447 0 0
1217 50 14458 0 0
1218 50 14499 0 0
1219 50 14487 0 0
1220 50 14433 0 0
1221 50 14382 0 0
1222 50 14316 0 0
1223 50 14225 0 0
1224 48 13694 0 0
1225 47 13444 0 0
1226 47 13374 0 0
1227 47 13380 0 0
1228 42 11949 0 0
1229 41 11791 0 0
1230 40 11492 0 0
1231 39 11311 0 0
1232 35 10187 0 0
1233 32 9433 0 0
1234 27 8119 1 0
1235 24 7388 1 0
1236 25 7815 1 0
1237 23 7270 1 0
1238 21 6840 1 0
1239 21 6813 1 0
1240 25 8014 1 0
1241 26 8219 1 0
1242 27 8424 1 0
1243 26 8078 1 0
