block n60 sum_rr60 bad60 hold drowsy alert
460 72 14509 0 0 0 0
461 71 14331 0 0 0 0
462 71 14431 0 0 0 0
463 71 14416 0 0 0 0
464 70 14334 0 0 0 0
465 70 14429 0 0 0 0
466 70 14467 0 0 0 0
467 70 14521 0 0 0 0
468 69 14411 0 0 0 0
469 69 14446 0 0 0 0
470 69 14528 0 0 0 0
471 69 14478 0 0 0 0
472 68 14256 0 0 0 0
473 70 14592 0 0 0 0
474 70 14466 0 0 0 0
475 71 14503 0 0 0 0
476 72 14572 0 0 0 0
477 72 14389 0 0 0 0
478 72 14353 0 0 0 0
479 72 14288 0 0 0 0
480 73 14406 0 0 0 0
481 73 14367 0 0 0 0
482 74 14423 0 0 0 0
483 74 14333 0 0 0 0
484 75 14443 0 0 0 0
485 74 14339 0 0 0 0
486 73 14271 0 0 0 0
487 72 14339 0 0 0 0
488 71 14292 0 0 0 0
489 71 14464 0 0 0 0
490 70 14381 0 0 0 0
491 70 14466 0 0 0 0
492 70 14550 0 0 0 0
493 69 14363 0 0 0 0
494 68 14309 0 0 0 0
495 68 14452 0 0 0 0
496 67 14389 0 0 0 0
497 67 14375 0 0 0 0
498 68 14456 0 0 0 0
499 68 14363 0 0 0 0
500 69 14460 0 0 0 0
501 69 14413 0 0 0 0
502 70 14535 0 0 0 0
503 70 14432 0 0 0 0
504 70 14242 0 0 0 0
505 72 14567 0 0 0 0
506 72 14463 0 0 0 0
507 72 14352 0 0 0 0
508 73 14461 0 0 0 0
509 73 14414 0 0 0 0
510 73 14426 0 0 0 0
511 73 14402 0 0 0 0
512 73 14447 0 0 0 0
513 73 14359 0 0 0 0
514 73 14345 0 0 0 0
515 73 14377 0 0 0 0
516 73 14497 0 0 0 0
517 72 14359 0 0 0 0
518 72 14336 0 0 0 0
519 72 14355 0 0 0 0
520 72 14359 0 0 0 0
521 72 14420 0 0 0 0
522 72 14486 0 0 0 0
523 72 14500 0 0 0 0
524 71 14277 0 0 0 0
525 71 14357 0 0 0 0
526 71 14395 0 0 0 0
527 70 14286 0 0 0 0
528 70 14308 0 0 0 0
529 70 14330 0 0 0 0
530 70 14448 0 0 0 0
531 70 14439 0 0 0 0
532 70 14430 0 0 0 0
533 70 14306 0 0 0 0
534 70 14278 0 0 0 0
535 70 14223 0 0 0 0
536 72 14529 0 0 0 0
537 72 14472 0 0 0 0
538 72 14343 0 0 0 0
539 73 14419 0 0 0 0
540 74 14557 0 0 0 0
541 74 14540 0 0 0 0
542 74 14360 0 0 0 0
543 74 14350 0 0 0 0
544 74 14319 0 0 0 0
545 75 14515 0 0 0 0
546 75 14458 0 0 0 0
547 75 14457 0 0 0 0
548 74 14321 0 0 0 0
549 74 14384 0 0 0 0
550 74 14489 0 0 0 0
551 73 14477 0 0 0 0
552 71 14259 0 0 0 0
553 70 14181 0 0 0 0
554 70 14437 0 0 0 0
555 69 14351 0 0 0 0
556 69 14397 0 0 0 0
557 68 14344 0 0 0 0
558 68 14442 0 0 0 0
559 67 14338 0 0 0 0
560 68 14490 0 0 0 0
561 67 14291 0 0 0 0
562 68 14353 0 0 0 0
563 69 14424 0 0 0 0
564 70 14439 0 0 0 0
565 71 14507 0 0 0 0
566 71 14365 0 0 0 0
567 72 14436 0 0 0 0
568 73 14521 0 0 0 0
569 73 14362 0 0 0 0
570 73 14277 0 0 0 0
571 74 14405 0 0 0 0
572 73 14234 0 0 0 0
573 74 14450 0 0 0 0
574 73 14382 0 0 0 0
575 73 14448 0 0 0 0
576 72 14359 0 0 0 0
577 72 14370 0 0 0 0
578 72 14350 0 0 0 0
579 72 14407 0 0 0 0
580 71 14250 0 0 0 0
581 71 14448 0 0 0 0
582 71 14493 0 0 0 0
583 71 14507 0 0 0 0
584 71 14590 0 0 0 0
585 70 14361 0 0 0 0
586 70 14338 0 0 0 0
587 70 14297 0 0 0 0
588 71 14457 0 0 0 0
589 71 14428 0 0 0 0
590 71 14446 0 0 0 0
591 71 14417 0 0 0 0
592 71 14521 0 0 0 0
593 71 14464 0 0 0 0
594 70 14261 0 0 0 0
595 70 14307 0 0 0 0
596 70 14247 0 0 0 0
597 71 14404 0 0 0 0
598 71 14402 0 0 0 0
599 71 14394 0 0 0 0
600 71 14346 0 0 0 0
601 71 14400 0 0 0 0
602 71 14359 0 0 0 0
603 72 14453 0 0 0 0
604 72 14308 0 0 0 0
605 73 14388 0 0 0 0
606 74 14579 0 0 0 0
607 73 14369 0 0 0 0
608 73 14403 0 0 0 0
609 73 14438 0 0 0 0
610 73 14479 0 0 0 0
611 73 14533 0 0 0 0
612 72 14440 0 0 0 0
613 71 14312 0 0 0 0
614 72 14481 0 0 0 0
615 71 14357 0 0 0 0
616 71 14418 0 0 0 0
617 70 14372 0 0 0 0
618 69 14264 0 0 0 0
619 70 14462 0 0 0 0
620 69 14400 0 0 0 0
621 69 14423 0 0 0 0
622 68 14272 0 0 0 0
623 68 14317 0 0 0 0
624 68 14336 0 0 0 0
625 69 14490 0 0 0 0
626 68 14417 0 0 0 0
627 68 14433 0 0 0 0
628 68 14469 0 0 0 0
629 68 14403 0 0 0 0
630 69 14534 0 0 0 0
631 68 14392 0 0 0 0
632 69 14432 0 0 0 0
633 69 14493 0 0 0 0
634 70 14595 0 0 0 0
635 69 14314 0 0 0 0
636 71 14572 0 0 0 0
637 71 14444 0 0 0 0
638 71 14370 0 0 0 0
639 71 14372 0 0 0 0
640 71 14414 0 0 0 0
641 71 14460 0 0 0 0
642 70 14279 0 0 0 0
643 71 14491 0 0 0 0
644 71 14486 0 0 0 0
645 70 14258 0 0 0 0
646 70 14279 0 0 0 0
647 71 14482 0 0 0 0
648 69 14227 0 0 0 0
649 69 14346 0 0 0 0
650 68 14297 0 0 0 0
651 68 14335 0 0 0 0
652 68 14355 0 0 0 0
653 68 14300 0 0 0 0
654 69 14389 0 0 0 0
655 69 14366 0 0 0 0
656 69 14310 0 0 0 0
657 70 14424 0 0 0 0
658 71 14519 0 0 0 0
659 70 14365 0 0 0 0
660 71 14487 0 0 0 0
661 71 14502 0 0 0 0
662 72 14548 0 0 0 0
663 72 14446 0 0 0 0
664 72 14370 0 0 0 0
665 73 14496 0 0 0 0
666 72 14420 0 0 0 0
667 73 14470 0 0 0 0
668 72 14334 0 0 0 0
669 73 14496 0 0 0 0
670 71 14331 0 0 0 0
671 71 14324 0 0 0 0
672 71 14341 0 0 0 0
673 71 14298 0 0 0 0
674 71 14309 0 0 0 0
675 71 14497 0 0 0 0
676 71 14522 0 0 0 0
677 69 14239 0 0 0 0
678 70 14383 0 0 0 0
679 69 14317 0 0 0 0
680 69 14442 0 0 0 0
